Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Thailand,8.42,8.17,7.92,8.17,8.08,8.67,8.42,8.17,9.33,8.67,84.0
Kenya,7.75,7.67,7.67,7.67,7.83,10.0,7.67,7.75,10.0,10.0,84.0
Uganda,7.67,7.58,7.92,7.83,7.67,10.0,7.58,7.75,10.0,10.0,84.0
Thailand,7.75,7.58,7.58,7.75,7.58,10.0,8.0,7.75,10.0,10.0,84.0
Brazil,7.5,7.58,7.5,7.5,7.58,10.0,8.5,7.75,10.0,10.0,83.92
Mexico,7.92,7.58,7.83,7.5,7.42,10.0,7.83,7.83,10.0,10.0,83.92
Thailand,7.67,7.5,7.67,7.83,7.67,10.0,7.83,7.75,10.0,10.0,83.92
Brazil,7.75,7.67,7.58,7.83,7.58,10.0,7.83,7.67,10.0,10.0,83.92
Taiwan,7.75,7.83,7.83,7.75,7.83,10.0,7.83,7.75,10.0,9.33,83.92
Colombia,7.75,7.5,7.75,7.75,7.83,10.0,7.67,7.67,10.0,10.0,83.92
Colombia,7.83,7.5,7.75,7.92,7.75,10.0,7.58,7.58,10.0,10.0,83.92
Taiwan,7.75,7.58,7.75,7.67,7.75,10.0,7.67,7.75,10.0,10.0,83.92
Colombia,7.83,7.5,7.92,7.67,7.58,10.0,7.75,7.67,10.0,10.0,83.92
Colombia,7.58,7.58,7.83,7.75,7.75,10.0,7.67,7.75,10.0,10.0,83.92
Colombia,7.83,7.67,7.75,7.67,7.83,10.0,7.58,7.58,10.0,10.0,83.92
Taiwan,7.92,7.92,8.0,7.33,7.67,10.0,7.17,7.92,10.0,10.0,83.92
Colombia,7.75,7.67,7.67,7.83,7.67,10.0,7.5,7.83,10.0,10.0,83.92
Mexico,7.67,7.58,7.67,7.83,7.75,10.0,7.67,7.75,10.0,10.0,83.92
